"EntrezID_Human"	"go_name"
8874	"presynaptic actin cytoskeleton organization (GO:0099140)"
8874	"postsynaptic actin cytoskeleton organization (GO:0098974)"
23229	"regulation of postsynaptic specialization assembly (GO:0099150)"
23229	"postsynaptic specialization (GO:0099572)"
10550	"regulation of neurotransmitter uptake (GO:0051580)"
10550	"presynaptic cytosol (GO:0099523)"
55207	"regulation of anterograde synaptic vesicle transport (GO:1903742)"
10109	"synapse (GO:0045202)"
10109	"postsynapse (GO:0098794)"
81873	"synapse (GO:0045202)"
409	"modulation of chemical synaptic transmission (GO:0050804)"
409	"postsynaptic signaling pathway (GO:0098926)"
50807	"regulation of postsynapse organization (GO:0099175)"
84896	"regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)"
84896	"postsynapse (GO:0098794)"
79065	"regulation of presynapse assembly (GO:1905606)"
79065	"synaptic vesicle (GO:0008021)"
79065	"presynapse (GO:0098793)"
478	"integral component of presynaptic membrane (GO:0099056)"
478	"postsynapse (GO:0098794)"
478	"integral component of presynaptic membrane (GO:0099056)"
490	"integral component of presynaptic active zone membrane (GO:0099059)"
490	"presynaptic membrane (GO:0042734)"
491	"integral component of postsynaptic membrane (GO:0099055)"
491	"integral component of presynaptic active zone membrane (GO:0099059)"
491	"presynaptic membrane (GO:0042734)"
491	"integral component of postsynaptic density membrane (GO:0099061)"
491	"ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels (GO:1905059)"
492	"ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of presynaptic cytosolic calcium levels (GO:1905056)"
492	"integral component of presynaptic membrane (GO:0099056)"
493	"integral component of presynaptic active zone membrane (GO:0099059)"
537	"integral component of synaptic vesicle membrane (GO:0030285)"
537	"synaptic vesicle proton loading (GO:0097401)"
10159	"synaptic vesicle proton loading (GO:0097401)"
10159	"integral component of synaptic vesicle membrane (GO:0030285)"
535	"integral component of synaptic vesicle membrane (GO:0030285)"
535	"synaptic vesicle proton loading (GO:0097401)"
50617	"integral component of synaptic vesicle membrane (GO:0030285)"
50617	"synaptic vesicle proton loading (GO:0097401)"
527	"integral component of synaptic vesicle membrane (GO:0030285)"
9114	"integral component of synaptic vesicle membrane (GO:0030285)"
9114	"synaptic vesicle proton loading (GO:0097401)"
155066	"integral component of synaptic vesicle membrane (GO:0030285)"
155066	"synaptic vesicle proton loading (GO:0097401)"
523	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
523	"synaptic vesicle proton loading (GO:0097401)"
525	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
525	"synaptic vesicle proton loading (GO:0097401)"
526	"synaptic vesicle proton loading (GO:0097401)"
526	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
528	"synaptic vesicle proton loading (GO:0097401)"
528	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
51382	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
51382	"synaptic vesicle proton loading (GO:0097401)"
529	"synaptic vesicle proton loading (GO:0097401)"
529	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
9296	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
9296	"synaptic vesicle proton loading (GO:0097401)"
9550	"synaptic vesicle proton loading (GO:0097401)"
9550	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
9550	"synaptic vesicle proton loading (GO:0097401)"
534	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
534	"synaptic vesicle proton loading (GO:0097401)"
51606	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
51606	"synaptic vesicle proton loading (GO:0097401)"
10396	"integral component of synaptic vesicle membrane (GO:0030285)"
10396	"synapse (GO:0045202)"
6790	"postsynaptic density (GO:0014069)"
551	"neuronal dense core vesicle (GO:0098992)"
8312	"synapse (GO:0045202)"
23621	"presynapse (GO:0098793)"
23621	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
10458	"modulation of chemical synaptic transmission (GO:0050804)"
10458	"presynaptic cytosol (GO:0099523)"
10458	"postsynaptic cytosol (GO:0099524)"
10458	"regulation of modification of postsynaptic actin cytoskeleton (GO:1905274)"
10458	"postsynaptic density, intracellular component (GO:0099092)"
10458	"regulation of postsynapse organization (GO:0099175)"
