alg,cl,Cn,Mu,FL,padj,overlapGenes
louvain,4,502,47,DOID:1826,0.0030992860235019,"369, 2475, 7249, 53616, 7532, 387, 1612, 22800, 23327, 5321, 998, 1471, 5879, 2932, 5515, 3757, 2941, 4137, 2911, 7074, 55704, 1509, 5590, 7248, 9353, 310, 427, 5962, 83605, 5906, 1917, 4133, 5524, 501, 361, 2890, 6854, 5880, 2629, 8893, 261726, 51400, 9211, 889, 2914, 85440, 1476"
louvain,4,502,74,DOID:10652,0.0030992860235019,"7534, 2475, 207, 6198, 7249, 7532, 1432, 5894, 387, 824, 5058, 57787, 161, 1612, 22800, 9588, 5321, 5594, 1471, 5879, 2932, 1508, 8878, 3308, 3757, 4137, 5566, 1386, 8678, 2911, 10048, 27429, 5728, 1020, 1938, 5605, 5037, 1509, 4155, 5599, 8851, 2931, 5595, 9353, 5581, 5604, 5602, 120892, 156, 10891, 10972, 2244, 11033, 55054, 8567, 6794, 1917, 4282, 4133, 5524, 2890, 5654, 4040, 5338, 6521, 4139, 3074, 2629, 644, 84630, 48, 7447, 9891, 9520"
louvain,1,537,35,DOID:2377,0.00578650773607,"58513, 6456, 4842, 4915, 23095, 50807, 2904, 6774, 6311, 335, 10658, 5725, 87, 2902, 58155, 177, 7422, 2247, 11315, 23114, 8482, 6772, 4509, 6776, 26578, 83604, 4353, 56666, 8853, 3738, 3766, 90134, 718, 6900, 57605"
louvain,1,537,48,DOID:10763,0.0063163872174345,"4842, 3667, 1956, 2066, 5295, 3736, 2934, 10580, 10539, 4915, 3643, 1499, 19, 10076, 6774, 9138, 2335, 9644, 6275, 335, 57554, 177, 3791, 7422, 2321, 2247, 11315, 462, 2242, 1445, 3636, 3778, 3240, 7052, 6772, 6776, 2185, 4868, 6778, 3075, 4353, 56666, 7057, 9820, 5445, 718, 53919, 57476"
louvain,4,502,92,DOID:5419,0.0123512515191809,"7534, 7531, 4734, 2475, 207, 7529, 7532, 1432, 2512, 5058, 9379, 9369, 1612, 1284, 9943, 9759, 9588, 5321, 5142, 998, 2932, 1114, 396, 3757, 55968, 7280, 6197, 2917, 4137, 8678, 2911, 10048, 5582, 1020, 203068, 5037, 472, 317, 5590, 4155, 6137, 8851, 5595, 5213, 5587, 7054, 310, 56924, 57514, 11346, 347733, 120892, 128, 156, 1620, 427, 5609, 10891, 1630, 10381, 523, 51735, 2257, 3305, 25830, 3839, 4133, 259173, 63826, 6091, 8662, 9368, 2890, 56288, 2913, 6125, 55619, 5144, 6854, 4775, 176, 5289, 54861, 51070, 57572, 56926, 5230, 116443, 84952, 5538, 7447, 9162"
louvain,4,502,33,DOID:14330,0.0367069103642045,"7534, 4734, 207, 7249, 7332, 1460, 4217, 4301, 2932, 1508, 8878, 3308, 10743, 2941, 4137, 1386, 27429, 5728, 27347, 8851, 7054, 4294, 120892, 1620, 10891, 2244, 10381, 84557, 6209, 221061, 2629, 8893, 793"
louvain,4,502,30,DOID:2377,0.0367069103642045,"207, 6198, 7532, 1432, 23327, 5594, 1471, 2932, 3308, 4137, 1509, 4155, 116986, 156, 1620, 10891, 10960, 9647, 4282, 54769, 361, 8662, 2913, 23075, 6125, 79925, 4261, 8893, 7412, 9520"
sgG1,34,861,147,DOID:10652,4.28570246188259e-10,"1785, 7534, 8470, 4842, 207, 6198, 3667, 1956, 7532, 1432, 5894, 1742, 2066, 10935, 387, 5058, 2934, 26037, 23026, 815, 57787, 4214, 161, 4915, 1627, 355, 1612, 1499, 22800, 274, 6453, 23607, 2903, 2904, 1080, 9844, 5290, 9588, 5321, 9821, 5594, 6655, 1471, 2534, 5879, 5747, 801, 2950, 8878, 6853, 7314, 1123, 54472, 23237, 1453, 8440, 6531, 4137, 5566, 9223, 1386, 8678, 320, 2911, 2915, 2902, 23072, 27429, 6622, 5728, 3791, 7422, 1020, 8536, 6714, 5605, 5037, 4155, 5530, 5052, 1795, 2550, 2571, 25924, 5599, 8851, 6812, 6280, 2931, 5595, 1000, 9456, 57030, 775, 5581, 6772, 5604, 5602, 23504, 1128, 3339, 5730, 120892, 230, 3176, 2776, 7295, 5534, 11033, 51617, 1501, 814, 8301, 8522, 9229, 147746, 2185, 3685, 8567, 6794, 1917, 8650, 4133, 3416, 2890, 818, 4040, 5338, 23197, 4139, 102, 90678, 2629, 4900, 7345, 2566, 644, 84630, 8867, 8754, 3738, 29934, 5445, 48, 8936, 9891, 9520"
sgG1,34,861,185,DOID:5419,1.0259880848778e-09,"1759, 7534, 7531, 2887, 2885, 6456, 4842, 9863, 4734, 207, 1956, 2561, 7529, 7532, 1432, 1072, 1742, 2066, 1741, 9228, 55824, 5058, 2934, 259217, 50618, 26037, 23026, 10580, 815, 6457, 58512, 1739, 7334, 4130, 4915, 355, 9379, 9369, 1612, 1499, 1947, 57576, 2903, 2904, 9943, 2905, 2906, 324, 5786, 5793, 5803, 9588, 5321, 998, 9644, 226, 2534, 801, 6311, 2950, 6853, 396, 25791, 23136, 6197, 23237, 50944, 6531, 4137, 9223, 9699, 2894, 8678, 2911, 2915, 57555, 2902, 1155, 5582, 6622, 7422, 1948, 1020, 5037, 5590, 4155, 85358, 5530, 2596, 5052, 23242, 5588, 114784, 22999, 2550, 2571, 2242, 9378, 64219, 575, 8851, 6812, 5595, 5213, 3697, 5587, 9456, 4643, 57030, 775, 9826, 26227, 3843, 7054, 4082, 56924, 9743, 57514, 11346, 1128, 5730, 120892, 128, 230, 2730, 1620, 2263, 427, 5578, 5609, 7295, 1630, 5532, 5534, 1501, 816, 2560, 9229, 2257, 10645, 2047, 25830, 8452, 103910, 348980, 56899, 5912, 4133, 10612, 5533, 81832, 9368, 2890, 56288, 2913, 2977, 6641, 51434, 8831, 6326, 5144, 6854, 30811, 3745, 8502, 23209, 4775, 4900, 176, 2554, 5286, 7345, 2566, 54861, 9732, 56926, 9568, 9900, 85439, 3700, 84952, 5538, 6451, 9455, 266727"
sgG1,34,861,90,DOID:1826,2.64206283008228e-08,"1759, 369, 4842, 9863, 3667, 1956, 53616, 2561, 7532, 1740, 387, 3736, 2934, 7316, 4915, 3643, 1612, 22800, 9693, 10188, 2903, 2904, 23327, 9138, 5321, 998, 1471, 3704, 5879, 2950, 6853, 7317, 4137, 160622, 2911, 2915, 2902, 7074, 23365, 8536, 5590, 610, 23114, 10021, 2550, 2571, 9378, 6812, 3778, 9826, 388, 8976, 4509, 773, 3417, 427, 3781, 2185, 166614, 83605, 9459, 5906, 348980, 1917, 3737, 25977, 8573, 54726, 10276, 4133, 777, 2890, 8831, 6326, 6854, 5880, 3745, 6792, 2629, 2554, 2566, 9211, 889, 9568, 9900, 3766, 3751, 18, 6900, 1476"
